Cut1 Cut2 Cut3 Cut4 Cut5 Cut6 Cut7 Cut8 Cut9 Cut10 Cut11 Cut12 Cut13 Cut14 Cut15 Cut16 Cut17 Cut18 Cut19 Cut20 Cut21 Cut22 Cut23 Cut24 Cut25 Cut26 Cut27 Cut28 Cut29 Cut30 Cut31 Cut32 Cut33 Cut34 Cut35 Cut36 Cut37 Cut38 Cut39 Cut40
3.004831365524491e-19 -5.700198699356341e-18 -4.5902072731403164e-17 9.409924909937651e-17 1.2668972073867265e-15 5.324640436842766e-15 1.2265033833830954e-14 3.260883246838882e-14 5.1116548193690574e-14 1.2220967844008784e-13 -9.753272413968538e-14 -2.937732654809798e-14 -7.0505583715435115e-15 -3.760297798156554e-14 1.0340818944930491e-13 -4.042320133018291e-13 -1.6451302866934902e-13 -8.695688658237017e-14 -7.050558371543508e-15 -5.099903888749819e-13 -1.4101116743087108e-13 -8.930707270621855e-14 -4.747375970172643e-13 -4.700372247695664e-15 -5.005896443795906e-13 9.870781720160951e-14 -9.87078172016093e-14 1.1985949231623954e-13 -4.81788155388808e-13 -1.821394245982078e-13 -3.049366495692576e-13 -1.5746247029780548e-13 -1.5041191192626195e-13 1.0223309638738116e-13 -2.6439593893288238e-14 8.730574233512883e-15 4.202334758559961e-15 -1.1934538910164828e-15 5.126687748188591e-16 6.8853109097104774e-18
1.9822012154561871e-19 -2.3592239273284576e-16 -3.3306690738754696e-16 -6.661338147750939e-16 -8.881784197001252e-16 -2.4868995751603507e-14 -1.4210854715202004e-14 -7.105427357601002e-14 7.105427357601002e-14 -8.810729923425242e-13 2789.0 2789.0000000000014 3584.9999999999995 4777.000000000003 6933.999999999997 7498.000000000004 8006.000000000003 8211.000000000002 8999.0 10846.000000000004 10846.000000000002 11481.000000000002 10667.000000000004 10789.000000000002 10408.000000000004 10356.0 7797.000000000002 7423.000000000003 6944.000000000005 5795.000000000001 4609.000000000002 3779.000000000001 3779.0000000000014 -5.968558980384842e-13 2.5579538487363607e-13 6.994405055138486e-14 -4.884981308350689e-15 2.6201263381153694e-14 -1.429412144204889e-15 -1.1102230246251565e-16
-7.316196911548102e-19 0.0 0.0 -1.7763568394002505e-15 -7.105427357601002e-15 -4.263256414560601e-14 0.0 -5.684341886080802e-14 -1.5631940186722204e-13 3059.9999999999995 3059.999999999999 4665.000000000002 6457.999999999999 8892.0 11614.999999999996 13729.0 14861.0 16746.0 17124.0 17124.0 18232.000000000007 19110.000000000004 19109.999999999996 17934.0 15572.0 15209.000000000004 12820.999999999996 10975.000000000002 8400.0 7879.999999999999 6128.999999999998 5070.0 4251.0 4180.999999999999 -6.252776074688882e-13 -1.4210854715202004e-13 -3.552713678800501e-15 2.4868995751603507e-14 -2.4674706722294104e-14 -6.661338147750939e-16
1.5537720348252627e-17 1.3322676295501878e-15 -1.7763568394002505e-15 -7.105427357601002e-15 1.4210854715202004e-14 2.842170943040401e-14 1.1368683772161603e-13 -1.4210854715202004e-13 3954.0000000000014 3953.9999999999995 4923.0 8492.999999999998 13413.999999999995 18144.000000000004 19781.99999999999 22059.0 24888.0 25014.999999999996 26557.999999999996 26629.000000000007 26610.999999999996 26766.999999999993 26681.0 25275.999999999993 23722.999999999985 22075.999999999996 18586.0 17709.999999999993 16323.0 10862.0 8408.999999999998 6578.999999999999 5087.999999999998 4308.999999999999 4309.000000000001 4.831690603168681e-13 2.2737367544323206e-13 4.973799150320701e-14 1.0014211682118912e-13 1.7763568394002505e-15
3.101938275757468e-17 0.0 0.0 1.0658141036401503e-14 1.1368683772161603e-13 -2.2737367544323206e-13 1.0089706847793423e-12 4015.9999999999977 4741.0 6873.000000000003 11835.0 17380.000000000007 21227.999999999996 23732.000000000007 29318.99999999999 32489.999999999996 34020.00000000001 34777.99999999999 39827.00000000001 39851.0 39587.99999999999 39110.99999999999 39111.0 38542.0 35835.99999999999 33185.0 29707.999999999996 25112.999999999996 23190.999999999996 20823.999999999993 13686.000000000002 11082.999999999996 9701.0 7675.999999999999 5243.999999999999 4271.000000000001 2139.0000000000005 3.979039320256561e-13 -1.432187701766452e-13 -5.329070518200751e-15
-2.876741365901946e-17 1.7763568394002505e-15 -7.105427357601002e-15 3.552713678800501e-14 -5.684341886080802e-14 7.815970093361102e-13 3917.0000000000005 4015.9999999999977 7411.0 10886.000000000002 16253.999999999995 20060.999999999996 26532.99999999999 31238.000000000007 33728.999999999985 37218.99999999998 38481.0 38647.99999999999 41110.99999999999 42333.999999999985 43417.0 43506.99999999999 44258.00000000001 44257.99999999999 40834.999999999985 36030.0 32937.0 32661.999999999993 27859.999999999993 23193.999999999993 20824.999999999996 12806.999999999996 10328.999999999996 9100.999999999998 8070.999999999999 4892.999999999998 3744.0 3682.0000000000005 4.4497738826976274e-13 -2.1316282072803006e-14
3.301509607718156e-16 -3.1086244689504383e-15 4.618527782440651e-14 -1.5631940186722204e-13 4.973799150320701e-13 2830.999999999998 4406.999999999999 6199.0 11006.000000000004 15019.000000000005 20492.000000000004 27461.999999999996 31328.00000000001 37454.000000000015 41105.00000000001 44421.0 46342.00000000002 47377.00000000001 49839.00000000002 52197.0 54150.000000000015 55407.999999999985 55408.00000000001 53620.0 50849.0 46348.99999999999 46090.000000000015 39446.0 37829.99999999999 36760.99999999999 31897.000000000004 25352.999999999996 19324.0 11548.000000000002 8421.999999999998 8071.000000000003 5573.000000000001 3687.0 1698.0000000000011 8.526512829121202e-14
-3.54775498403513e-16 -1.4210854715202004e-14 1.4210854715202004e-14 2.842170943040401e-14 -4.973799150320701e-13 2830.9999999999986 5236.999999999997 9111.999999999998 13793.999999999998 18799.000000000004 22333.999999999985 27658.0 36179.99999999999 42050.00000000001 45351.999999999985 50422.999999999985 51790.000000000015 52442.99999999999 53186.99999999997 56816.999999999985 56285.99999999999 57097.0 58216.999999999985 58217.0 53467.99999999999 52520.0 48956.000000000015 44981.000000000015 42852.999999999985 38390.99999999999 32527.999999999993 25352.999999999993 19323.999999999996 18380.999999999996 11593.999999999996 9782.999999999998 8254.000000000002 4935.0 3396.0 -3.410605131648481e-13
3.1094390972520974e-16 -3.907985046680551e-14 -2.842170943040401e-14 0.0 2528.0000000000005 3378.9999999999995 7593.000000000002 11431.0 16365.000000000004 19978.000000000004 24296.000000000004 32047.000000000004 40461.00000000001 44112.00000000002 45870.999999999985 50955.000000000015 53827.000000000015 55706.00000000001 56722.00000000001 56915.0 58182.00000000002 59888.00000000001 60249.000000000015 59888.0 58258.000000000015 53760.00000000001 51077.00000000003 49015.000000000015 46397.000000000015 39516.99999999999 32527.999999999996 24424.000000000007 23317.999999999996 18547.000000000004 15205.0 11142.000000000002 9092.000000000004 7255.000000000002 3956.000000000001 2720.000000000001
-4.780083628188536e-15 1.7763568394002505e-14 -8.526512829121202e-14 2.913225216616411e-13 2528.0 4551.999999999998 8527.0 12098.000000000002 16365.000000000004 20288.000000000007 24564.0 38447.000000000015 42114.0 45815.000000000015 51001.999999999985 57121.00000000001 58670.00000000002 59180.00000000001 59479.00000000001 60193.0 61930.000000000015 62430.00000000002 62566.99999999999 62532.0 60375.000000000015 59866.99999999999 57318.000000000015 56306.00000000001 51236.0 45070.00000000001 36829.00000000001 24424.000000000004 20955.0 24441.000000000007 24440.999999999996 14252.999999999996 10780.000000000005 8222.000000000002 5841.999999999998 2720.0
