Wavefront_pumped_trans21 Wavefront_pumped_trans22 Wavefront_pumped_trans23 Wavefront_pumped_trans24 Wavefront_pumped_trans25 Wavefront_pumped_trans26 Wavefront_pumped_trans27 Wavefront_pumped_trans28 Wavefront_pumped_trans29 Wavefront_pumped_trans210 Wavefront_pumped_trans211 Wavefront_pumped_trans212 Wavefront_pumped_trans213 Wavefront_pumped_trans214 Wavefront_pumped_trans215 Wavefront_pumped_trans216 Wavefront_pumped_trans217 Wavefront_pumped_trans218 Wavefront_pumped_trans219 Wavefront_pumped_trans220 Wavefront_pumped_trans221 Wavefront_pumped_trans222 Wavefront_pumped_trans223 Wavefront_pumped_trans224 Wavefront_pumped_trans225 Wavefront_pumped_trans226 Wavefront_pumped_trans227 Wavefront_pumped_trans228 Wavefront_pumped_trans229 Wavefront_pumped_trans230 Wavefront_pumped_trans231 Wavefront_pumped_trans232 Wavefront_pumped_trans233 Wavefront_pumped_trans234 Wavefront_pumped_trans235 Wavefront_pumped_trans236 Wavefront_pumped_trans237 Wavefront_pumped_trans238 Wavefront_pumped_trans239 Wavefront_pumped_trans240
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.752947280183425 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.70739203505216 -0.6946941539645 -0.683208492584505 -0.677712028846125 -0.67698951531199 -0.68673336133359 -0.69613556005059 -0.710383223369695 -0.73636955022808 -0.763516856357455 -0.78475449793038 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.670744501985585 -0.64967189915476 -0.635197618044889 -0.6242589112371 -0.612700829282381 -0.607958090491572 -0.61252322793005 -0.617977788671832 -0.639197761192897 -0.66778079047797 -0.694869024679045 -0.725169200450175 -0.76430721767245 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.67278003320096 -0.648405771702505 -0.620761042460779 -0.596406571567037 -0.573717333376385 -0.557048112153985 -0.537983333691935 -0.533607913181165 -0.5384295042604 -0.54678563028572 -0.565684206783755 -0.59310777671633 -0.625355591997483 -0.66260865330694 -0.701144324615575 -0.745778203010565 -0.795265790075045 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.66492195241151 -0.633113334886708 -0.604835334233914 -0.57517379708586 -0.546881506219485 -0.514305646531275 -0.48641264252366 -0.463098638690975 -0.459217012859855 -0.465812904760215 -0.47190628945828 -0.4859852623194 -0.514228919520955 -0.551455805078125 -0.59568813629446 -0.639492947608215 -0.689329301938395 -0.741116929799325 -0.79836495779449 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
