Wavefront_background21 Wavefront_background22 Wavefront_background23 Wavefront_background24 Wavefront_background25 Wavefront_background26 Wavefront_background27 Wavefront_background28 Wavefront_background29 Wavefront_background210 Wavefront_background211 Wavefront_background212 Wavefront_background213 Wavefront_background214 Wavefront_background215 Wavefront_background216 Wavefront_background217 Wavefront_background218 Wavefront_background219 Wavefront_background220 Wavefront_background221 Wavefront_background222 Wavefront_background223 Wavefront_background224 Wavefront_background225 Wavefront_background226 Wavefront_background227 Wavefront_background228 Wavefront_background229 Wavefront_background230 Wavefront_background231 Wavefront_background232 Wavefront_background233 Wavefront_background234 Wavefront_background235 Wavefront_background236 Wavefront_background237 Wavefront_background238 Wavefront_background239 Wavefront_background240
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.007898965850475 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.0050860773772 0.00496926158667 0.005058792419735 0.003946786746385 0.00514725316316 0.007499989122155 0.0087437722832 0.00855507142842 0.00899210572243 0.010233266279105 0.01086981408298 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.005001657642425 0.00511028058827 0.00539263430983 0.00509363971651 0.00425849296153 0.005721208639445 0.00814184546471 0.009634261950855 0.010104576125745 0.00934997573495 0.009620560333135 0.010267306119205 0.01029411144555 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.002415712922815 0.00282483920455 0.00391561351717 0.004681281745435 0.00536895543337 0.004936277866365 0.004563366994265 0.005710160359745 0.00828108005226 0.00956413894892 0.0100124552846 0.009165706112985 0.00951600633562 0.00965861976147 0.009890289977195 0.010203137993815 0.010483708232645 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.00184719078243 0.001302669756115 0.00163711886853 0.002799855545165 0.004339719191195 0.00448303949088 0.00419811718166 0.004476898349825 0.005442121066155 0.006848162040115 0.00871738046408 0.0100754480809 0.009675214067105 0.009446093812585 0.009973691776395 0.010090414434675 0.00962947867811 0.009626496583225 0.01030396483839 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
