Var1 Var2 Var3 Var4 Var5 Var6 Var7 Var8 Var9 Var10 Var11 Var12 Var13 Var14 Var15 Var16 Var17 Var18 Var19 Var20 Var21 Var22 Var23 Var24 Var25 Var26 Var27 Var28 Var29 Var30 Var31 Var32 Var33 Var34 Var35 Var36 Var37 Var38 Var39 Var40
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 2789 2789 3585 4777 6934 7498 8006 8211 8999 10846 10846 11481 10667 10789 10408 10356 7797 7423 6944 5795 4609 3779 3779 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 3060 3060 4665 6458 8892 11615 13729 14861 16746 17124 17124 18232 19110 19110 17934 15572 15209 12821 10975 8400 7880 6129 5070 4251 4181 0 0 0 0 0 0
0 0 0 0 0 0 0 0 3954 3954 4923 8493 13414 18144 19782 22059 24888 25015 26558 26629 26611 26767 26681 25276 23723 22076 18586 17710 16323 10862 8409 6579 5088 4309 4309 0 0 0 0 0
0 0 0 0 0 0 0 4016 4741 6873 11835 17380 21228 23732 29319 32490 34020 34778 39827 39851 39588 39111 39111 38542 35836 33185 29708 25113 23191 20824 13686 11083 9701 7676 5244 4271 2139 0 0 0
0 0 0 0 0 0 3917 4016 7411 10886 16254 20061 26533 31238 33729 37219 38481 38648 41111 42334 43417 43507 44258 44258 40835 36030 32937 32662 27860 23194 20825 12807 10329 9101 8071 4893 3744 3682 0 0
0 0 0 0 0 2831 4407 6199 11006 15019 20492 27462 31328 37454 41105 44421 46342 47377 49839 52197 54150 55408 55408 53620 50849 46349 46090 39446 37830 36761 31897 25353 19324 11548 8422 8071 5573 3687 1698 0
0 0 0 0 0 2831 5237 9112 13794 18799 22334 27658 36180 42050 45352 50423 51790 52443 53187 56817 56286 57097 58217 58217 53468 52520 48956 44981 42853 38391 32528 25353 19324 18381 11594 9783 8254 4935 3396 0
0 0 0 0 2528 3379 7593 11431 16365 19978 24296 32047 40461 44112 45871 50955 53827 55706 56722 56915 58182 59888 60249 59888 58258 53760 51077 49015 46397 39517 32528 24424 23318 18547 15205 11142 9092 7255 3956 2720
0 0 0 0 2528 4552 8527 12098 16365 20288 24564 38447 42114 45815 51002 57121 58670 59180 59479 60193 61930 62430 62567 62532 60375 59867 57318 56306 51236 45070 36829 24424 20955 24441 24441 14253 10780 8222 5842 2720
0 0 0 2054 2796 5544 8977 12650 16411 22099 31057 38535 42475 47320 52107 58181 62875 63064 65836 67981 67981 67981 69172 69172 63971 62784 59050 58258 55596 49143 41581 31869 22562 22562 22562 17461 11596 10780 6668 3396
0 0 0 2048 3194 6587 9146 12650 19821 26098 36964 43223 48829 51393 55178 65613 65905 65989 67134 69418 69967 70761 71216 71216 68805 67114 64263 61484 57369 56081 50344 40071 32985 22562 21542 21507 12429 11596 6855 5094
0 0 1983 2150 3736 7290 9146 14823 23074 32566 39237 48775 53213 57771 60158 66323 67683 67683 67702 69846 72430 72430 78387 76650 76534 70698 70698 68438 61661 58797 56609 49690 43254 28233 22485 20933 17540 10549 8935 5094
0 0 1983 2144 4208 7444 9400 17082 25393 37634 42920 51730 54661 60158 65067 65918 65918 67174 68675 68779 69179 77673 77673 77673 76534 75148 73872 73872 63409 61661 59179 51412 44593 36033 27162 22485 18585 10549 9238 5094
0 0 2038 2126 4286 8864 11263 20020 28870 41411 48708 54905 61759 64793 70822 75164 75421 77371 83524 83524 82904 86589 95110 94710 93844 80931 80548 78441 73426 63721 60385 57473 50043 39997 32205 25488 19725 12002 9386 5296
0 0 2038 2141 4565 9188 12287 21258 30831 41917 50663 57255 61759 64793 71308 75421 77307 77740 83524 85883 82904 86589 92340 93844 92340 80586 78441 78441 73426 63476 60385 57473 50569 42922 34225 28901 19896 13900 10051 5417
