intens1 intens2 intens3 intens4 intens5 intens6 intens7 intens8 intens9 intens10 intens11 intens12 intens13 intens14 intens15 intens16 intens17 intens18 intens19 intens20 intens21 intens22 intens23 intens24 intens25 intens26 intens27 intens28 intens29 intens30 intens31 intens32 intens33 intens34 intens35 intens36 intens37 intens38 intens39 intens40
1812 1812 2085 2366 3116 4616 6270 8365 9666 10331 11039 12901 16574 18750 19707 20630 22826 22826 23169 24051 24313 24919 24919 24464 24192 22783 21217 19644 19244 15634 12495 9614 8090 5992 4743 3137 1953 1530 1335 0
1839 2051 2369 2827 4068 5482 6946 9664 10161 12129 12299 16302 19218 19257 21027 23670 24363 24392 24588 25796 26410 26410 26908 27111 27111 24503 23173 22016 20171 18895 14459 12869 10053 7114 5676 4079 2555 1530 1216 839
1839 2078 2438 3392 4211 5716 7793 10560 12429 13369 17501 18985 20225 21674 23621 24866 27091 28314 28143 29401 29496 30390 30873 30338 28169 26522 25107 24155 21579 20563 16399 14825 11372 7600 6136 4232 3505 1667 1253 0
1836 2123 3072 3619 5134 6895 9261 12429 13165 15775 17755 20187 20967 22237 24493 25614 28314 28143 28396 29401 30064 30873 30873 30482 29778 27296 26448 24283 22346 21625 17842 15781 12067 9167 6256 4712 3505 2143 1253 0
1805 2483 3753 4549 7178 9308 10032 13025 13502 18242 19462 21679 24005 25585 28215 30122 31559 32685 33156 33961 36397 36029 35512 35512 34581 30742 28627 26711 25252 22092 19749 17097 12700 10720 6742 5245 3832 2143 1366 0
1836 2709 3983 6231 8914 9379 10796 13502 14454 19701 19763 22855 24621 26218 28215 30122 31629 32853 33156 33961 35920 35920 35573 34587 33945 30742 29150 27004 25317 23450 19882 18122 13509 10870 8066 5624 4057 2414 1612 1425
2370 3782 5598 7722 8914 9379 10796 15170 18228 20538 22589 24365 24821 26218 28247 30505 31629 32685 33065 33961 34030 35573 35573 35573 34581 30742 29150 27588 25317 23450 20634 19096 16495 10870 8950 6552 5387 2502 1882 1398
3067 4671 5598 7722 9118 9560 13326 15816 18337 21500 23405 24494 27021 27091 29413 30505 34378 34378 35528 36179 38596 37571 37001 36850 34894 31940 29728 28443 26513 23547 20805 19666 18432 13855 10097 6556 5654 3599 2572 1425
3463 4773 5598 7575 9118 11380 13326 15851 18843 21500 23543 25800 27021 27647 30435 33061 34378 35603 35929 38642 38962 38596 37256 37001 34973 32969 31243 29549 28108 27447 24254 23505 21942 16361 11051 8188 5903 4559 3103 1865
3809 5201 5795 7575 9469 11380 13477 16542 19108 22607 23543 26130 27529 30069 30624 33532 35680 35987 38272 38962 43922 43943 40687 39711 37669 34076 32154 30888 28896 27667 25184 23533 22573 16879 14743 8487 7312 5705 3575 2353
4039 5227 6486 8136 9469 11014 13477 17345 20363 22607 23674 26678 28321 30159 31736 34614 36336 39312 39312 41817 46994 44625 44625 41865 39271 36937 33582 33146 31785 29225 26526 26317 26024 20809 15448 9692 8248 6267 4031 2607
4039 5279 7586 8412 9507 11014 13628 17711 20363 22295 23169 26862 28333 30159 32000 34652 36941 39352 45600 48361 48361 46994 44812 44425 40612 39271 34531 34080 32375 29469 28681 27257 26024 21523 15690 11733 8248 6267 4591 2887
