intens1 intens2 intens3 intens4 intens5 intens6 intens7 intens8 intens9 intens10 intens11 intens12 intens13 intens14 intens15 intens16 intens17 intens18 intens19 intens20 intens21 intens22 intens23 intens24 intens25 intens26 intens27 intens28 intens29 intens30 intens31 intens32 intens33 intens34 intens35 intens36 intens37 intens38 intens39 intens40
1631 1631 1886 2148 2680 4032 5799 7714 8963 9827 10384 12036 15168 18069 19171 19851 22424 22424 22849 23467 24071 24638 24638 24177 24048 22691 21375 19794 19283 15667 12948 9993 8174 6188 5115 3384 2101 1652 1352 0
1718 1858 2047 2483 3548 4947 6227 8765 9568 11393 11449 14775 18319 18386 20347 23080 23831 23938 24242 25325 25896 26322 26625 26989 26989 24530 23166 22757 20336 18981 14808 13212 10373 7458 6079 4409 2741 1671 1352 1000
1718 1858 2193 3054 3816 5104 6880 9658 12204 12537 16403 18387 19754 21207 22886 24577 26463 27855 27855 27855 29166 30638 30946 30007 28434 26779 25107 24364 21978 20809 16652 15181 11873 7940 6515 4481 3917 1733 1381 1000
1653 1994 2716 3304 4560 6155 8431 11785 12537 14833 17077 19679 20558 21752 24111 25418 28115 28352 28352 28381 29166 30946 30946 30007 30007 27650 26687 24744 22657 22110 18287 16204 12463 9132 6617 5063 3917 2375 1408 0
1653 2138 3464 3905 6419 8788 9184 11986 12810 17009 19003 20900 23304 25750 27424 29834 31509 32956 33580 34444 36408 36408 36257 35898 35076 30592 29086 27654 25574 22421 20131 17471 13043 11101 7086 5497 4228 2375 1447 0
1765 2232 3546 5561 8316 8788 9915 12810 13754 19216 19532 22273 24558 25777 27725 30024 31509 32988 33580 34444 36788 36408 35808 35076 34041 30867 29458 27687 25574 23644 20216 18828 14164 11450 8501 6057 4373 2661 1854 1526
2073 3158 5195 7193 8316 8788 9915 14451 17697 20095 22316 23952 24780 26212 27725 30735 31509 32956 33520 34444 35316 35808 35808 35808 35076 31068 29458 28508 25574 23644 20975 19380 17002 11450 9693 6919 5826 2661 2190 1526
2714 4379 5195 7193 8318 8845 12437 14497 17773 20925 22859 24225 27085 27218 29248 30735 34481 34552 36386 37656 39057 38697 38697 38351 35463 32602 29908 28713 26895 24565 21000 20154 18794 14217 10816 6949 6176 4002 2904 1648
3027 4427 5212 7007 8318 10642 12488 14579 17900 20925 23286 25898 27218 28198 30332 33389 34552 36768 36386 37809 40878 39057 38601 38357 35754 33561 31533 29660 28284 27647 24303 23658 22291 17323 11672 8704 6513 4867 3395 2244
3453 4844 5243 7007 8807 10642 12743 15814 18066 22445 23286 26241 27747 30182 30827 34800 36869 37229 39295 40615 47613 44777 42572 42285 37753 34476 32306 31007 28931 27685 25463 24128 22860 17389 15379 9223 7643 6253 3834 2728
3705 4852 5963 7715 8902 10436 12743 16914 19833 22445 23286 26777 28350 31430 32293 34814 36869 39295 40615 45067 48454 47613 44294 42572 39559 37570 34061 33422 31846 29866 26799 26753 26519 21228 16331 10270 8694 6879 4471 2870
3705 4983 7118 8238 8930 10436 12887 17400 19833 21949 23246 26964 28495 31430 32293 35550 38570 43100 50101 55614 55614 54155 49683 48078 41778 39559 35236 35017 32841 30474 29226 27366 26519 22065 16713 12468 8694 6879 5043 3246
3781 4993 7465 8583 8978 12560 14659 17829 20066 21634 24005 27519 28585 31430 33197 35550 41319 49037 50101 62511 62511 61743 59672 55937 46094 42451 37460 35017 34483 30603 29603 27366 26388 22884 18034 12575 8843 6332 5181 3246
