intens1 intens2 intens3 intens4 intens5 intens6 intens7 intens8 intens9 intens10 intens11 intens12 intens13 intens14 intens15 intens16 intens17 intens18 intens19 intens20 intens21 intens22 intens23 intens24 intens25 intens26 intens27 intens28 intens29 intens30 intens31 intens32 intens33 intens34 intens35 intens36 intens37 intens38 intens39 intens40
2064 2072 2350 3458 4416 6151 7890 9943 10740 12293 15527 18760 20299 21123 22839 23584 25217 25217 25313 26524 27278 27485 27278 27485 27019 26744 24048 22625 22493 20655 16667 15661 12999 8943 7152 5421 3978 2271 1655 1216
1921 2267 3076 3958 5122 7145 9579 12546 13599 16034 17628 22195 22755 23520 24956 26547 27244 27244 27244 28208 29175 30174 30174 30057 29953 28221 26842 25286 23531 22543 19245 17895 14812 11419 7869 5897 4901 3374 1712 1171
1921 2673 3089 4802 6698 8924 11560 13582 14903 17527 20696 22195 22755 23520 25208 27233 28155 29879 29879 29909 30688 30689 32669 32153 29953 28823 27846 25856 24233 23634 20446 19617 15768 12218 8876 6225 5065 3485 2311 1207
1921 3102 3915 6467 8876 9585 11881 13627 15124 20223 21265 22315 22975 24965 25493 27233 29096 29096 29879 29909 30422 30675 30740 30740 30740 29110 28328 27348 25335 24223 20988 19794 17677 12662 11237 6930 5318 3485 2311 1207
2448 3711 6093 8234 9012 9930 11881 16329 18283 21552 22259 24802 25795 26833 29464 32229 32476 32743 33877 33877 35278 36351 35932 35932 34456 32645 30043 29181 28429 25475 22741 20935 18899 16054 11391 8005 5359 4202 2371 1468
2965 4422 6590 8234 9373 10658 12508 17439 18785 21552 22259 24919 25786 26272 29464 32229 32368 32743 33233 33233 34636 34795 35000 35106 35106 32645 31542 29805 28429 26435 22852 22634 19750 16756 11948 8567 6012 4761 2601 1768
4184 5473 6590 8234 10327 13075 15086 17467 18989 22633 24611 25741 26272 26272 29464 29720 32034 33485 33485 34267 34276 34636 34795 35959 35308 32645 31117 30473 28429 27657 24498 23375 21615 18722 13988 10062 7526 5336 3913 2290
4396 5473 7052 8891 11475 13075 15856 18307 20619 23260 25374 27079 28313 28666 29558 29720 32034 33905 34454 34710 38583 38583 37599 37360 36023 34079 31542 30582 29313 28151 26346 23821 22959 21989 17626 11924 8064 5778 5073 2759
4415 5521 7412 9297 11475 13075 16045 19547 21617 23923 25413 27211 28666 30157 30879 31961 34297 34315 35116 37204 39202 38921 39202 38780 38712 34206 32594 31946 31316 29890 29303 27697 26154 23872 20317 13992 10063 7318 5997 3273
4905 6648 7974 9370 11246 14396 17230 19886 21837 24393 25413 27794 29350 30879 31961 32539 35265 35691 36023 37727 40555 40555 40003 39689 38780 38044 33943 33208 32374 30596 29922 28380 26774 24481 22211 15930 12422 8319 6576 3801
5199 7090 8169 9370 11246 15049 17893 19886 21990 24980 25426 28778 30545 30904 32539 35377 36596 36866 39093 39867 42014 42014 41165 41165 40654 40108 36137 35764 34296 32039 30752 30642 30642 27602 24605 17946 12489 9057 6674 4770
5890 7792 7974 10063 12250 16056 18317 20197 21990 24980 27031 29025 30613 31298 33131 36162 36596 39067 39284 39867 42033 42014 41026 41026 41026 40654 37434 35764 35150 32361 30904 30904 30642 27602 24793 19943 14459 9320 6674 4924
6077 7737 8384 10653 14177 16543 18843 20272 22540 24980 27031 29582 30588 32094 32270 35377 37445 38257 40426 40426 42602 43984 43984 47058 47058 41081 40263 39181 36065 33180 31666 30904 29497 27782 24996 20428 14459 9330 6311 4924
6077 7338 8384 12922 14479 16685 18917 21576 22951 25014 27031 30432 31445 32270 33131 35826 37334 37334 37334 42245 42245 42245 43715 43715 43715 41687 40398 40263 36870 33180 31875 31042 29497 26482 24793 20428 14080 9330 6207 4876
