arraywave1 arraywave2 arraywave3 arraywave4 arraywave5 arraywave6 arraywave7 arraywave8 arraywave9 arraywave10 arraywave11 arraywave12 arraywave13 arraywave14 arraywave15 arraywave16 arraywave17 arraywave18 arraywave19 arraywave20 arraywave21 arraywave22 arraywave23 arraywave24 arraywave25 arraywave26 arraywave27 arraywave28 arraywave29 arraywave30 arraywave31 arraywave32 arraywave33 arraywave34 arraywave35 arraywave36 arraywave37 arraywave38 arraywave39 arraywave40
-0.5581780672073 -0.5480176210403 -0.5406464338303 -0.5368711948395 -0.5197150707245 -0.4885874092579 -0.464016854763 -0.4529513418674 -0.4353825449944 -0.4186686873436 -0.4077248573303 -0.3873709738255 -0.3631649911404 -0.3402437865734 -0.3223341703415 -0.3085053265095 -0.3041370213032 -0.2851583957672 -0.2682068943977 -0.2728509604931 -0.2796634435654 -0.2895239591599 -0.3016488552094 -0.3145801126957 -0.3298677504063 -0.3365643024445 -0.3364369273186 -0.3385110199451 -0.351811259985 -0.3687009215355 -0.3846342265606 -0.4005819857121 -0.41942897439 -0.4432918429375 -0.4668540656567 -0.4907731711864 -0.5119814872742 -0.5415337085724 -0.5730003118515 NaN
-0.5625532865524 -0.554581284523 -0.5399680137634 -0.5246984958649 -0.5043301582336 -0.4786477088928 -0.4557401239872 -0.4371229112148 -0.4183791577816 -0.3956292569637 -0.3738011419773 -0.3470867872238 -0.322889059782 -0.3024260997772 -0.2841683924198 -0.267830312252 -0.259070456028 -0.2502923905849 -0.2397674918175 -0.2391229569912 -0.2472146451473 -0.2566709220409 -0.2709819972515 -0.2849701941013 -0.3005682826042 -0.3132601380348 -0.3209723830223 -0.3266623318195 -0.3387340605259 -0.3539215922356 -0.3683407008648 -0.3858037292957 -0.4079839289188 -0.4311858713627 -0.4518393278122 -0.4733818769455 -0.4977133572102 -0.5313234329224 -0.5677132606506 -0.5949088335037
-0.5652849674225 -0.5586817264557 -0.539785861969 -0.5140166282654 -0.4891704618931 -0.46496540308 -0.4380234479904 -0.4133016169071 -0.393434792757 -0.3688129782677 -0.3400963246822 -0.3143880963326 -0.287935256958 -0.2651375830173 -0.2430695593357 -0.2282018363476 -0.2197766005993 -0.2019478231668 -0.2020249962807 -0.2143451273441 -0.2214250266552 -0.2295281589031 -0.2312778234482 -0.2501608729362 -0.2730830013752 -0.2932562232018 -0.2994809448719 -0.3087450563908 -0.3217910826206 -0.3337277770042 -0.3515767455101 -0.3756687045097 -0.3987907767296 -0.4198985397816 -0.4413357675076 -0.4598235785961 -0.4854080975056 -0.5188508033752 -0.5568850040436 -0.5885003805161
-0.5718138217926 -0.5597276687622 -0.5347093343735 -0.4990220367908 -0.4694228470325 -0.4444581270218 -0.4152771234512 -0.392177850008 -0.374532610178 -0.3480548262596 -0.3199653625488 -0.2937566637993 -0.2652385830879 -0.2387191057205 -0.2105942070484 -0.1892892718315 -0.1738554090261 -0.1542284339666 -0.1501125693321 -0.1572766005993 -0.1708253771067 -0.1783381551504 -0.1866999268532 -0.213243573904 -0.2356399297714 -0.2670053839684 -0.2757403552532 -0.2852174937725 -0.2979423701763 -0.3175544440746 -0.3382514417171 -0.3640744388103 -0.389270812273 -0.4126245677471 -0.4356146454811 -0.4526062607765 -0.471951842308 -0.5065197944641 -0.543748497963 NaN
-0.5772722959518 -0.5507776737213 -0.5132074356079 -0.4787636995316 -0.4461249113083 -0.4253290891647 -0.4051239788532 -0.3772917091846 -0.353373259306 -0.3264137804508 -0.2980946302414 -0.2731490433216 -0.2400706112385 -0.2079495936632 -0.1854017227888 -0.1676760166883 -0.1509167999029 -0.1280718892813 -0.1006011664867 -0.09500661492348 -0.1062195450068 -0.1217326521873 -0.1483425945044 -0.1788820624352 -0.2113102972507 -0.2410572469234 -0.259286314249 -0.27039077878 -0.2861661314964 -0.3058125674725 -0.3243336975574 -0.3486792743206 -0.3790346980095 -0.4077398478985 -0.4354027509689 -0.456842392683 -0.4715056121349 -0.4952026307583 -0.5292464494705 NaN
-0.5675640106201 -0.5329773426056 -0.492536097765 -0.4601564407349 -0.4339247643948 -0.4144138395786 -0.3926565945148 -0.3597187697887 -0.3274640738964 -0.2976956665516 -0.2664422094822 -0.2388302981853 -0.2030049562454 -0.1667249798775 -0.1464704573154 -0.1251903176308 -0.1069565713406 -0.0889545455575 -0.06207317113876 -0.06010323762894 -0.06251467764378 -0.07663859426975 -0.09653963893652 -0.1324965506792 -0.1847281008959 -0.2121824324131 -0.2358796596527 -0.253552377224 -0.2723612785339 -0.2904054224491 -0.3097832500935 -0.3338262438774 -0.3668758571148 -0.4021671116352 -0.4335023164749 -0.4568375051022 -0.4725259840488 -0.492680221796 -0.5240749120712 -0.5497364997864
-0.5518798828125 -0.515535235405 -0.4825651347637 -0.4588451683521 -0.4350392818451 -0.4047152101994 -0.3708711862564 -0.3358833491802 -0.305223017931 -0.2746977806091 -0.2437129616737 -0.2106001526117 -0.1717980504036 -0.1334897726774 -0.103482849896 -0.06571324169636 -0.03997246176004 -0.02620456367731 -0.01369166746736 -0.01779736950994 -0.02342533692718 -0.02945584431291 -0.04466681927443 -0.08910141885281 -0.1373229324818 -0.172665566206 -0.1993933022022 -0.219616651535 -0.2471041083336 -0.2691814899445 -0.2908833622932 -0.3211872279644 -0.3586839139462 -0.395361572504 -0.42640671134 -0.4506135582924 -0.4680471122265 -0.4927585422993 -0.5206228494644 -0.5533257722855
-0.5414463281631 -0.5095552206039 -0.4833636581898 -0.4585002958775 -0.4274064302444 -0.3892008364201 -0.3542721867561 -0.3214106857777 -0.2934436798096 -0.2622457146645 -0.2264937758446 -0.193096742034 -0.1546401083469 -0.1119932830334 -0.07824938744307 -0.0417683981359 -0.0008919388055801 0.02440165728331 0.0395976677537 0.0394783988595 0.03206343203783 0.02092086523771 -0.003447499126196 -0.05035772919655 -0.0970281213522 -0.135890930891 -0.164102435112 -0.1896864175797 -0.2248868644238 -0.2528475522995 -0.2764232456684 -0.3069594800472 -0.346448302269 -0.3869123458862 -0.4229471385479 -0.450309574604 -0.465580612421 -0.4902372062206 -0.5210912227631 -0.5487440824509
-0.54132771492 -0.5142008066177 -0.4844126999378 -0.4488205015659 -0.4131596982479 -0.3774812221527 -0.3461490869522 -0.3177742362022 -0.2822064757347 -0.2430480420589 -0.2064416110516 -0.1748247742653 -0.1419372856617 -0.0936368778348 -0.05082278698683 -0.01199501752853 0.02521553635597 0.06275796890259 0.08907049149275 0.09830796718597 0.1059324741364 0.08141908049583 0.03742215782404 -0.01032112166286 -0.06053956598043 -0.1016604974866 -0.1336303949356 -0.169243812561 -0.2072532176971 -0.2336795330048 -0.2610945105553 -0.3001123964787 -0.3394665718079 -0.3777958452702 -0.4156949818134 -0.4462950527668 -0.4685351550579 -0.4893271028996 -0.517994761467 -0.5434376001358
-0.5476840734482 -0.5168840885162 -0.4805680215359 -0.4395457208157 -0.4038621783257 -0.3714737594128 -0.3400913178921 -0.3078370392323 -0.2688065469265 -0.2276145517826 -0.1908310055733 -0.1615097522736 -0.1243926733732 -0.07028019428253 -0.01519373804331 0.02656247466803 0.05180976912379 0.1005647033453 0.1428306400776 0.1641168296337 0.1824019700289 0.1495412737131 0.09455852210522 0.04451394081116 -0.02589039504528 -0.08114309608936 -0.1169854402542 -0.1581403613091 -0.1974202990532 -0.2183936983347 -0.2469447553158 -0.2904649376869 -0.3321726024151 -0.370807737112 -0.4095575809479 -0.441800147295 -0.4636459648609 -0.4833976328373 -0.5139070749283 -0.5351634025574
